Location ,Surface ,Q,A,B,C,HR,N,State
Cannington,North,34.88,0.719,1,8,5.5,200.62976,0
Cannington,South,65.33,0.719,0.2,8,6.7,75.155632,0
Cannington,West,15,1,0.2,6.958,5.2,20.874,0
Cannington,East,12.33,1,0.2,5.464,5.4,13.474224,0
Cannington,back,20.75,0.484,1,2,2.5,20.086,0
Cannington,North,51.25,1,0.5,8,9,205,0
Cannington,South,19.11,1,0.8,5.948,5.8,90.933024,0
Cannington,West,48.6,0.46,1,6.958,5.8,155.553048,0
Cannington,East,10.33,0.46,0.8,5.948,5.7,22.61096512,0
Cannington,back,18.06,0.60625,0.8,2,6.8,17.5182,0
Cannington,North,21.11,1,0.3,8,5.9,50.664,0
Cannington,South,50.87,1,0.2,8,5,81.392,0
Cannington,West,39.1,0.4825,0.2,7.477,8.2,28.21184255,0
Cannington,East,12,1,0.2,7.477,8,17.9448,1
Cannington,North,44.5,0.455,1,8,4.3,161.98,0
Cannington,South,29.67,0.143,0.2,8,4.5,6.788496,0
Cannington,West,14.83,1,1,8,9.5,118.64,0
Cannington,East,9.21,0.92,0.8,8,7.9,54.22848,0
Cannington,North,51.3,0.85,1,8,5.7,348.84,0
Cannington,South,29.33,0.325,0.2,8,4.3,15.2516,0
Cannington,West,31,0.685,1,8,9,169.88,0
Cannington,East,19.25,0.46,0.8,8,7.4,56.672,0
Cannington,North,21.11,1,0.3,8,10.6,50.664,0
Cannington,South,33.43,1,0.2,8,9.5,53.488,1
Cannington,West,7.33,0.775,0.3,8,6.9,13.6338,0
Cannington,East,8.67,0.775,0.2,6.958,7,9.3505083,0
Cannington,North (Upper),15.08,0.1,1,8,4.8,12.064,0
Cannington,South (Upper),48,0.1,1,8,6.1,38.4,0
Cannington,West (Upper),17.25,0.1,1,8,5.7,13.8,0
Cannington,East (lower),48.25,0.1,1,8,6.9,38.6,0
Cannington,East (upper),18.5,0.1,1,7.791,6.9,14.41335,0
Cannington,North,15,1,0.5,8,8.7,60,0
Cannington,South,26.55,0.55,0.2,8,10.9,23.364,0
Cannington,East,5.17,0.1,0.2,7.477,7.5,0.7731218,0
Cannington,North,44.25,0.595,1,8,7.7,210.63,0
Cannington,South,24.67,0.595,0.2,8,5.9,23.48584,0
Cannington,West,24.67,0.595,1,5.948,6,87.3086102,0
Cannington,East (original),6.33,0.595,0.5,6.447,7.1,12.14082923,1
Cannington,South,31.88,0.908,1,8,6.8,231.57632,0
Cannington,West,38.5,0.598,1,8,7.7,184.184,0
Cannington,East,18.63,0.598,0.2,8,7.3,17.825184,0
Cannington,North,8.83,1,1,8,11,70.64,0
Cannington,South,6.78,1,1,8,9.8,54.24,0
Cannington,West,41,0.296875,0.2,7.477,6,18.20182188,0
Cannington,East,16.5,0.71875,0.2,7.477,7.6,17.73450938,0
Cannington,back,5.89,0.357142857,1,2.091,7,4.398567855,0
Cannington,North,43,0.475,1,8,8.766,163.4,0
Cannington,South,61.33,0.475,0.2,8,8.766,46.6108,0
Cannington,West,61,0.475,0.8,5.464,4.508,126.65552,0
Cannington,back,19.5,0.475,0.8,2,4.9,14.82,0
Cannington,South,16.5,1,0.3,8,10.294,39.6,0
Cannington,West,16.5,1,1,6.958,7.143,114.807,0
Cannington,East,6,1,0.2,7.477,7.143,8.9724,0
Cannington,North ,51.75,0.537,0.8,8,10.294,177.8544,0
Cannington,South,16.5,0.537,0.2,8,10.294,14.1768,1
Cannington,FW,16.5,1,0.8,7.477,7.143,98.6964,0
Cannington,HW,6,1,0.8,6.958,6.364,33.3984,0
Cannington,North,24,0.353,0.5,8,8.438,33.888,0
Cannington,South,33.6,0.353,0.5,8,9.178,47.4432,0
Cannington,West,23.25,0.735,0.8,6.958,6.508,95.122818,0
Cannington,North,6.5,0.353,0.8,8,6.3,14.6848,0
Cannington,South,30.38,0.1,0.8,8,5.7,19.4432,0
Cannington,East,18.5,0.735,1,8,5.5,108.78,0
Cannington,West,6,0.735,0.2,8,5.8,7.056,0
Cannington,back,7.2,0.233,0.8,2,4.5,2.68416,0
Cannington,North,45.5,0.236,1,8,7.2,85.904,0
Cannington,South,47,0.1,1,8,6,37.6,0
Cannington,West,22.75,0.326,0.2,8,5.5,11.8664,0
Cannington,North,12.86,0.243,0.5,8,8.7,12.49992,0
Cannington,South,24.8,0.243,0.5,8,8.8,24.1056,0
Cannington,West,37,0.537,0.5,8,5,79.476,0
Cannington,East,5.83,0.537,0.5,6.447,6.8,10.09184369,0
Cannington,North,25.33,0.475,1,8,8.37,96.254,0
Cannington,South,25.67,0.475,0.2,8,8.37,19.5092,0
Cannington,West,61,0.475,1,6.958,7.826,201.60805,0
Cannington,back,32.25,0.475,1,2,4.3,30.6375,0
Cannington,HW,0.75,0.537,0.2,6.958,9.2,0.5604669,2
Cannington,FW,39.5,0.537,0.3,8,9.2,50.9076,0
Cannington,South,31.6,0.243,0.3,8,8.656,18.42912,0
Cannington,North,16.29,0.243,0.2,8,5.902,6.333552,1
Cannington,South,25.6,0.243,0.5,8,5.902,24.8832,0
Cannington,West,32,0.537,0.3,6.958,9,35.8698816,0
Cannington,East,2,0.537,0.3,6.447,9,2.0772234,2
Cannington,North,7.11,0.47,1,8,6.3,26.7336,0
Cannington,South,8.67,0.47,1,8,6.2,32.5992,0
Nickson,Back,13.33,0.1,0.2,7.373,6.2,1.9656418,2
Nickson,Back,13.33,0.1,0.2,5.948,5.2,1.5857368,2
Nickson,HW,10,1,0.3,4.91,10.3,14.73,2
Nickson,HW,5.92,1,0.2,5,16.4,5.92,2
Nickson,HW,13.12,1,0.2,8,7,20.992,0
Nickson,HW,7.19,1,0.2,4.473,5.2,6.432174,0
Nickson,Back,15.75,0.1,0.2,5.948,1.3,1.87362,0
Nickson,HW,21.47,1,0.3,5.948,6.1,38.311068,0
Nickson,Back,15.75,0.1,0.2,4.91,1.8,1.54665,0
Nickson,HW,21.47,1,0.2,4.91,6.1,21.08354,1
Nickson,HW,7.19,1,0.2,4.645,5.9,6.67951,2
Nickson,HW,8.33,1,0.3,5,10.4,12.495,0
Nickson,HW,3.13,1,0.3,5.948,4.9,5.585172,1
Mathews - Heath Steele,Back,84.44,0.352517986,1,2,2.7,59.53323748,0
Mathews - Heath Steele,Back,84.44,0.380393401,1,2,6.1,64.24083756,1
Mathews - Heath Steele,Back,84.44,0.6125,1,2,7.6,103.439,1
Mathews - Heath Steele,Back,40,0.523615635,1,2,8.8,41.8892508,1
Mathews - Heath Steele,Back,40,0.564013841,1,2,13.4,45.12110728,1
Mathews - Heath Steele,Back,20,0.485812883,0.3,2,6.1,5.829754596,1
Mathews - Heath Steele,Back,20,0.503154574,0.3,2,15.2,6.037854888,2
Mathews - Heath Steele,Back,20,0.266978346,0.3,2,6.4,3.203740152,1
Mathews - Heath Steele,Back,13.33,0.748355263,0.3,2,17.4,5.985345393,2
Mathews - Geco Mine,H/W,30,0.465625,0.3,8,9.1,33.525,1
Mathews - Geco Mine,F/W,12.5,0.465625,0.3,8,9.1,13.96875,1
Mathews - Heath Steele,Wall,40,1,0.3,8,13.1,96,0
"Mathews - CSA Mine, Cobar",Back,85,0.205882353,0.3,2,7,10.5,0
"Mathews - CSA Mine, Cobar",Back,85,0.15625,0.3,2,8.4,7.96875,0
"Mathews - CSA Mine, Cobar",Back,85,0.1,0.3,2,5.8,5.1,1
"Mathews - CSA Mine, Cobar",Back,85,0.1,0.3,2,3.1,5.1,1
"Mathews - CSA Mine, Cobar",Back,85,0.1,0.3,2,7.6,5.1,1
"Mathews - CSA Mine, Cobar",Back,85,0.129524887,0.3,2,5,6.605769237,0
"Mathews - CSA Mine, Cobar",Wall,85,1,0.3,6.971,16.1,177.7605,0
"Mathews - CSA Mine, Cobar",Wall,85,1,0.3,6.971,21.3,177.7605,1
"Mathews - CSA Mine, Cobar",Wall,85,1,0.3,6.971,23.3,177.7605,1
Mathews,Back,18,0.280157343,1,2,7.3,10.08566435,2
Mathews,Back,18,0.1,1,2,5,3.6,1
Mathews,Back,18,1,1,2,9.9,36,2
Mathews,Back,18,0.448638614,1,2,6.8,16.1509901,2
3440-36,HW,2,0.1,0.3,7.061,3.41,0.42366,1
3440-36,FW,2,0.1,0.3,6.65,3.353,0.399,1
3440-36,Sidewall,2,0.1,1,8,1.2,1.6,1
3440-36,Sidewall,2,0.1,1,8,1.2,1.6,0
3440-36,Back,2,0.1,0.2,2,1.614,0.08,0
3440-34,HW,0.42,0.1,0.3,7.061,3.979,0.0889686,1
3440-34,FW,2.5,0.1,0.3,6.958,3.718,0.52185,1
3440-34,Sidewall,0.83,0.1,1,8,3.067,0.664,1
3440-34,Back,1.17,0.1,0.2,2,2.212,0.0468,1
3440-32,HW,0.83,0.1,0.3,7.269,3.46,0.1809981,2
3440-32,FW,1.67,0.1,0.3,7.269,3.216,0.3641769,2
3440-32,Sidewall,1.17,0.1,1,8,1.246,0.936,0
3440-32,Sidewall,1.17,0.1,1,8,1.16,0.936,0
3440-32,Back,2.5,0.1,0.2,2,1.033,0.1,0
3470-34,HW,0.42,0.1,0.3,7.061,3.503,0.0889686,1
3470-34,FW,1.25,0.1,0.3,8,3.296,0.3,1
3470-34,Sidewall,1.42,0.1,1,8,2.958,1.136,1
3470-34,Sidewall,1.42,0.1,1,8,2.958,1.136,0
3470-34,Back,2.25,0.1,0.2,2,1.955,0.09,0
Potvin,HW,54,1,0.5,8,5,216,0
Potvin,WALL,6,0.2,0.25,8,8.9,2.4,1
Potvin,WALL,6,0.1,0.25,8,7.7,1.2,2
Potvin,HW,10.5,1,0.2,3.757,7.1,7.8897,1
Potvin,HW,40,1,0.3,8,14,96,0
Potvin,HW,40,1,0.3,8,11,96,0
Potvin,HW,40,1,0.2,6.447,5.2,51.576,0
Potvin,HW,9,1,0.2,8,8.5,14.4,0
Potvin,END,3.2,0.3,0.2,8,4.7,1.536,1
Potvin,HW,4.2,1,0.3,6.447,9.1,8.12322,1
Potvin,HW,30,1,0.3,6.958,8.3,62.622,0
Potvin,BACK,6.25,0.1,0.866666667,2,5.8,1.083333334,2
Potvin,BACK,6.25,0.1,0.866666667,2,4.2,1.083333334,0
Potvin,HW,30,1,0.6,8,8.8,144,0
Potvin,BACK,30,0.1,0.4,2,3.5,2.4,1
Potvin,BACK,16.5,1,0.2,2,1.8,6.6,0
Potvin,HW,16.5,1,0.2,4.559,4.7,15.0447,0
Potvin,HW,16.5,1,0.2,4.559,8.8,15.0447,0
Potvin,BACK,16.5,1,0.2,2,2.1,6.6,0
Potvin,BACK,34,1,0.2,2,10.5,13.6,2
Potvin,BACK,34,1,0.2,2,11.3,13.6,2
Potvin,BACK,34,1,0.2,2,12.2,13.6,2
Potvin,BACK,34,1,0.2,2,4.1,13.6,0
Potvin,WALL,12,1,0.3,8,7.6,28.8,0
Potvin,WALL,34,1,0.2,8,7.6,54.4,0
Potvin,HW,34,1,0.2,5,9,34,0
Potvin,HW,90,1,1,8,16.6,720,0
Potvin,BACK,90,0.1,1,2,4,18,0
Potvin,HW,90,1,1,8,23,720,0
Potvin,BACK,90,0.4,1,2,10.7,72,0
Potvin,BACK,9,0.6,0.3,2.362,10.5,3.82644,2
Potvin,HW,9,0.9,0.2,5,9,8.1,0
Potvin,BACK,43.5,0.5,0.2,2,2.4,8.7,0
Potvin,BACK,43.5,0.5,0.2,2,6.8,8.7,2
Potvin,BACK,43.5,0.5,0.2,2,8,8.7,2
Potvin,WALL,2,1,0.3,8,19,4.8,2
Potvin,BACK,43.5,0.2,0.2,2,3.7,3.48,0
Potvin,WALL,43.5,1,0.933333333,8,8.4,324.7999999,0
Potvin,WALL,2,1,0.3,8,4.5,4.8,0
Potvin,HW,25.5,1,0.3,5.948,7.5,45.5022,0
Potvin,HW,6,1,0.2,8,5.6,9.6,0
Potvin,HW,6,1,0.2,8,6.7,9.6,0
Potvin,BACK,5,0.1,0.2,2,1.9,0.2,0
Potvin,BACK,26,0.6,0.6,2,2.1,18.72,0
Potvin,BACK,26,0.5,0.6,2,2.4,15.6,0
Potvin,BACK,26,0.4,0.6,2,2.9,12.48,0
Potvin,BACK,26,0.4,0.6,2,3.1,12.48,0
Potvin,BACK,26,0.3,0.6,2,3,9.36,0
Potvin,HW,8,1,0.3,5.948,7.5,14.2752,0
Potvin,HW,8,1,0.3,5.948,8.1,14.2752,0
Potvin,HW,8,1,0.26,5.56,5.3,11.5648,0
Potvin,HW,8,1,0.23,5.276,5.7,9.70784,0
Potvin,BACK,8,0.1,0.2,2,1.9,0.32,0
Potvin,BACK,8,0.3,0.2,2,1.8,0.96,0
Potvin,BACK,8,0.1,0.2,2,2.1,0.32,1
Potvin,BACK,8,0.1,0.2,2,2.3,0.32,1
Potvin,BACK,22,0.7,0.3,2,5,9.24,0
Potvin,HW,0.5,1,0.3,5.948,9,0.8922,2
Potvin,HW,0.5,1,0.3,5.948,11.3,0.8922,2
Potvin,BACK,30,0.4,0.2,2,10,4.8,2
Potvin,BACK,30,1,0.2,2,6.7,12,0
Potvin,WALL,30,1,0.3,8,18,72,0
Potvin,HW,32,1,0.2,8,9.7,51.2,0
Potvin,END,32,0.1,0.2,8,5.6,5.12,0
Potvin,FW,16.2,1,0.2,8,8.4,25.92,0
Potvin,BACK,25,0.1,0.2,2,3.4,1,0
Potvin,BACK,16,0.1,0.3,2,7.6,0.96,2
Potvin,WALL,3,1,0.2,8,20,4.8,2
Potvin,BACK,21,0.1,0.8,2,8.6,3.36,2
Potvin,HW,21,1,0.3,8,9.9,50.4,0
Potvin,FW,13.5,1,0.2,8,9.9,21.6,1
Potvin,BACK,27,1,0.3,2.804,12.5,22.7124,2
Potvin,BACK,27,1,0.3,2.804,15,22.7124,2
Potvin,BACK,27,1,0.3,2.804,15.9,22.7124,2
Potvin,BACK,27,1,0.3,2.804,7.7,22.7124,0
Potvin,BACK,27,1,0.3,2.804,5.4,22.7124,0
Potvin,WALL,27,0.5,0.2,8,11.6,21.6,1
Potvin,BACK,27,0.5,0.5,2.362,7.3,15.9435,0
Potvin,BACK,27,0.5,0.5,2.362,9.9,15.9435,0
Potvin,BACK,27,0.5,0.5,2.362,11.1,15.9435,1
Potvin,HW,6,1,0.3,5.948,6.9,10.7064,1
Potvin,WALL,24,0.1,0.3,8,4.9,5.76,0
Potvin,HW,6,1,0.3,6.958,6.7,12.5244,0
Potvin,HW,6,1,0.3,5.464,6,9.8352,0
Potvin,HW,6,1,0.3,5.464,12,9.8352,2
Potvin,HW,2.4,1,0.3,7.165,3,5.1588,0
Potvin,HW,2.4,1,0.3,7.165,9,5.1588,1
Potvin,HW,2.4,1,0.3,7.165,12,5.1588,2
Potvin,HW,54,1,0.3,4.559,16,73.8558,1
Potvin,HW,4.8,1,0.3,8,5,11.52,1
Potvin,HW,4.8,1,0.3,8,8,11.52,2
Potvin,HW,0.25,1,0.3,6.447,16,0.483525,2
Potvin,HW,48,1,0.3,8,7,115.2,0
Potvin,HW,12,1,0.3,4.559,2,16.4124,0
Potvin,HW,12,1,0.3,4.559,11,16.4124,0
Potvin,HW,54,1,0.3,5,5,81,0
Potvin,HW,0.75,1,0.3,8,14,1.8,2
Potvin,HW,0.75,1,0.3,6.958,6,1.56555,2
Potvin,HW,0.75,1,0.3,6.958,10,1.56555,2
Potvin,HW,0.25,1,0.3,6.447,11,0.483525,2
Potvin,HW,54,1,0.3,5,9,81,0
Potvin,HW,2.4,1,0.3,5.464,6,3.93408,1
Potvin,HW,2.25,1,0.3,5.183,13,3.498525,2
Potvin,HW,54,1,0.3,4.559,10,73.8558,0
Potvin,HW,21,1,0.3,5.464,4,34.4232,0
Potvin,HW,60,1,0.3,5.56,1,100.08,0
Potvin,HW,60,1,0.3,5.56,12,100.08,1
Potvin,HW,16,1,0.3,8,4,38.4,0
Potvin,HW,16,1,0.3,8,11,38.4,0
Potvin,HW,0.75,1,0.3,4.306,3,0.96885,0
Potvin,HW,0.75,1,0.3,4.306,11,0.96885,2
Potvin,HW,0.75,1,0.3,5.464,2,1.2294,0
Potvin,HW,0.75,1,0.3,5.464,7,1.2294,2
Potvin,HW,0.75,1,0.3,5.464,9,1.2294,2
Potvin,HW,0.75,1,0.3,5.464,16,1.2294,2
Potvin,HW,0.25,1,0.3,6.753,8,0.506475,2
Potvin,HW,0.25,1,0.3,8,3,0.6,1
Potvin,HW,0.25,1,0.3,8,5,0.6,2
Potvin,HW,16,1,0.3,5.464,3,26.2272,0
Potvin,HW,3,1,0.3,5,3,4.5,0
Potvin,HW,3,1,0.3,5,6,4.5,1
Potvin,HW,3,1,0.3,5,14,4.5,2
Potvin,HW,1.5,1,0.3,5.276,3,2.3742,0
Potvin,HW,1.5,1,0.3,5.276,8,2.3742,1
Potvin,HW,1.5,1,0.3,5.276,13,2.3742,2
Potvin,HW,30,1,0.3,5.948,10,53.532,0
Potvin,HW,1.6,1,0.3,6.958,4,3.33984,2
Potvin,HW,1.6,1,0.3,6.958,10,3.33984,2
Potvin,HW,3,1,0.3,5,6,4.5,1
Potvin,HW,3,1,0.3,5,12,4.5,2
